AP5;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
9;-82;-82;-82;-82;-82;-82;-82;;-54;-54;-57.9;-57.7;-55.8;-53.9;-46.3;-45.1;-45;-45;;;9
8.5;-82;-82;-82;-82;-82;-82;-82;;-54;-54;-57.9;-57.7;-55.8;-53.9;-46.3;-45.1;-45;-45;;;8.5
8;-81.8;-81.8;-81.7;-82;-81.2;-81.6;-81.6;;-54.3;-54.3;-55.4;-56.6;-53;-51.4;-45.9;-45.3;-45;-45;;;8
7.5;-80.6;-80.6;-79.8;-80.4;-79.7;-79.2;-79.2;;-55.9;-55.9;-45.6;-45.7;-46.7;-47.9;-45;-45;-45;-45;;;7.5
7;-78;-78;-77;-79.2;-80.6;-82.3;-82.3;;-57.5;-57.5;-45;-45;-45.8;-46.1;-45;-45;-45;-45;;;7
6.5;-74.8;-74.8;-75.7;-78.9;-82;-83;-82.75;-75.8;-61.35;-57.1;-49.8;-45.7;-45.6;-45;-45;-45.1;-45;-45;;;6.5
6;-73.1;-73.1;-73.6;-77.6;-80.3;-82.6;-82.5;-75.8;-65.6;-64.8;-58.3;-47;-45;-45;-46.3;-47.2;-47.2;-47.2;;;6
5.5;-73;-73;-73;-74.4;-73.4;-72;-64;-69.1;-69.4;-68.8;-62.1;-58.2;-49;-45.7;-46;-47.6;-49.7;-49.7;;;5.5
5;-73;-73;-73;-72.2;-68;-65.2;-64.6;-68.75;-68.9;-68.8;-62.1;-58.2;-49;-45.7;-48.4;-50.8;-50.9;-50.9;;;5
4.5;-73;-73;-73.1;-71.5;-67.6;-65;-64.6;-68.4;-68.4;;;;;;-54;-54;-52.5;-52.5;;;4.5
4;-73.3;-73.3;-73.8;-71.2;-72.7;-68.2;-69.6;-71.5;-75.7;-80.1;-80.1;-78.5;-75.5;-73.9;-68.8;-66;-64.1;-64.1;;;4
3.5;-75.5;-75.5;-75.9;-75.3;-75.5;-72.8;-75.8;-75.9;-79.9;-80.1;-80.1;-78.5;-75.5;-73.9;-71.6;-66.2;-68.2;-68.2;;;3.5
3;-76.9;-76.9;-77.5;-77.8;-77.9;-76.8;-78.3;-79.3;-81.1;-81.2;-81.3;-81.1;-77.4;-73.1;-75.9;-67;-73.4;-73.4;;;3
2.5;-77.7;-77.7;-77.9;-78.5;-79.5;-80;-81.5;-81.1;-81.5;-81.63333333;-82.15;-83.4;-82.35;-77.9;-79.85;-76.7;-77.05;-80.7;-76.6;-76.6;2.5
2;-78;-78;-78;-78.6;-80.6;-81.3;-82.8;-82.6;-81.4;-82.2;-83;-85.7;-87.3;-82.7;-83.8;-86.4;-80.7;-88;-76.6;-76.6;2
1.5;-78;-78;-78;-78.3;-80.7;-82.1;-83;-82.9;-80.2;-77.6;-79.7;-86.2;-88;-87.9;-87.4;-87.7;-82.5;-92;-79.9;-79.9;1.5
1;-78;-78;-78;-78.3;-80.7;-82.1;-83;-82.9;-80.2;-78.4;-79.2;-87.3;-88;-88;-87.9;-88;-87.6;-91.5;-75;-75;1
0.5;;;;;;;;;;-82.5;-82.5;-87.5;-88;-88;-87.1;-88;-87.5;-92;-80;-80;0.5
0;;;;;;;;;;-82.5;-82.5;-87.5;-88;-88;-87.1;-88;-87.5;-92;-80;-80;0
;0;0.5;1;1.5;2;2.5;3;3.5;4;4.5;5;5.5;6;6.5;7;7.5;8;8.5;9;9.5;
